shift_%_of_tiktok_spend,shift_amount,profit_change_noDR,profit_change_withDR,sim_profit_noDR,sim_profit_withDR
0,0.0,0.0,0.0,3072091.75,3072091.75
5,42332.02,14077.63,1539.66,3086169.37,3073631.41
10,84664.04,28155.25,2606.83,3100247.0,3074698.57
15,126996.06,42232.88,3201.5,3114324.62,3075293.25
20,169328.09,56310.51,3323.69,3128402.25,3075415.43
25,211660.11,70388.13,2973.38,3142479.88,3075065.12
30,253992.13,84465.76,2150.58,3156557.5,3074242.32
40,338656.17,112621.01,-912.51,3184712.76,3071179.24
50,423320.22,140776.26,-5865.56,3212868.01,3066226.19
